"","Regulon","Size","NES","p.value","FDR","Ledge"
"1","hsa-miR-20b-5p",128,-4.69,2.74e-06,0.000417,"ADARB1, ZNF695, C11orf63, ZNF93, + 90 genes"
"2","hsa-miR-15b-5p",529,-4.53,5.77e-06,0.000439,"PJA1, AEBP2, VTI1B, CDC25B, + 260 genes"
"3","hsa-miR-615-3p",105,-4.18,2.91e-05,0.00147,"NRDC, H2AFV, E2F2, PINK1, + 66 genes"
"4","hsa-miR-454-3p",329,-3.77,0.000166,0.00446,"ADAMTS18, COL15A1, E2F2, LRP8, + 211 genes"
"5","hsa-miR-33a-5p",269,-3.82,0.000131,0.00446,"CDK5R1, SMC1A, TMEM98, E2F3, + 148 genes"
"6","hsa-miR-148b-5p",178,-3.75,0.000176,0.00446,"MCL1, TSHZ3, RRAGD, FRMPD4, + 109 genes"
"7","hsa-miR-183-3p",129,-3.69,0.000227,0.00493,"E2F3, ZNF208, UBE2E3, MEF2C, + 97 genes"
"8","hsa-miR-1254",398,-3.6,0.000322,0.00611,"HEY2, WWC2, RRP1, ARHGEF4, + 255 genes"
"9","hsa-miR-1301-3p",125,-3.56,0.000372,0.00628,"TSC22D3, RPL3, TFRC, RAD23B, + 75 genes"
"10","hsa-miR-141-3p",355,-3.45,0.000569,0.00844,"MAPK14, SSR1, STXBP6, TENM3, + 226 genes"
"11","hsa-miR-429",327,-3.43,0.000611,0.00844,"BMPER, EIF5A2, DZIP1, TMOD1, + 218 genes"
"12","hsa-miR-671-5p",921,-3.38,0.000734,0.0093,"MAGIX, COQ4, SLC2A12, UBE2L3, + 518 genes"
"13","hsa-miR-7-5p",267,-3.32,0.000908,0.0106,"NDUFA3, ELMO2, MRPS33, CDC25B, + 161 genes"
"14","hsa-miR-301a-3p",546,-3.28,0.00105,0.0114,"NARS, WTAP, CCND2, SLC26A5, + 311 genes"
"15","hsa-miR-33b-5p",178,-3.21,0.00134,0.0136,"MTBP, SRPK2, HOXA9, SRP19, + 90 genes"
"16","hsa-miR-93-3p",373,-3.08,0.00208,0.0171,"ZER1, ARHGEF33, CNTN3, ABCC10, + 233 genes"
"17","hsa-miR-16-2-3p",257,-3.08,0.00207,0.0171,"KBTBD3, SRSF2, KLF2, SNTG2, + 93 genes"
"18","hsa-miR-760",214,-3.1,0.00192,0.0171,"PLVAP, USP14, FAM104A, NPM2, + 120 genes"
"19","hsa-miR-16-1-3p",35,-3.07,0.00214,0.0171,"CPNE8, DPP4, KIAA1217, CALD1, + 16 genes"
"20","hsa-miR-592",90,-3.02,0.00249,0.018,"ABO, EIF4E, PF4V1, RNF128, + 56 genes"
"21","hsa-miR-32-3p",65,-3.03,0.00242,0.018,"COA4, TSHZ3, FRMPD4, SUMO2, + 45 genes"
"22","hsa-miR-151a-5p",147,-2.95,0.00314,0.0203,"SLC7A5, DNMBP, PPP1R3B, FAM210A, + 83 genes"
